time	geo	champ	rh	rbh
2017-01-01	DE	md	0.040942785233340835	0.05073752893752847
2017-01-01	DE	mdhfi	0.03978648178965401	0.048724515172230747
2017-01-01	DE	mdhi	0.07093516362843687	0.0974916224822186
2017-01-01	DE	mdhifi	0.069245710856288	0.0942686977045671
2017-01-01	DE	mdhim	0.06923847435508652	0.08927214295369273
2017-01-01	DE	mdhimfi	0.05158376883066075	0.07022434530929879
2017-01-01	DE	tb	0.0355489763150271	0.04393971573006161
2017-01-01	FR	md	0.03334912647230686	0.042921779415099386
2017-01-01	FR	mdhfi	0.03623737329609325	0.04374122230069962
2017-01-01	FR	mdhi	0.04727891255137441	0.0850501772183307
2017-01-01	FR	mdhifi	0.06011985017933827	0.09115132014375407
2017-01-01	FR	mdhim	0.03398163131644123	0.055076147214537775
2017-01-01	FR	mdhimfi	0.0279185180234657	0.04476995434213536
2017-01-01	FR	tb	0.030109089954885246	0.03841389899547025
2017-01-01	IT	md	0.05280609722772146	0.059744575027683135
2017-01-01	IT	mdhfi	0.04897923938372549	0.05478855926216754
2017-01-01	IT	mdhi	0.07676121708296249	0.09377178571593438
2017-01-01	IT	mdhifi	0.06809283269754815	0.08266220178473348
2017-01-01	IT	mdhim	0.07461007117400598	0.0885154087875988
2017-01-01	IT	mdhimfi	0.055271349418034244	0.06709739127467039
2017-01-01	IT	tb	0.04870402188461309	0.054732871328739136
2017-01-01	ES	md	0.058339014698607514	0.06493729196413142
2017-01-01	ES	mdhfi	0.05661160970503872	0.062237332389968335
2017-01-01	ES	mdhi	0.06418669755701988	0.07606553188895422
2017-01-01	ES	mdhifi	0.061214669706183666	0.07148156948680959
2017-01-01	ES	mdhim	0.06396896801138797	0.07400893475989592
2017-01-01	ES	mdhimfi	0.051492507471502205	0.0601288101126915
2017-01-01	ES	tb	0.04997509036311601	0.05551419742757815
2017-01-01	NL	md	0.06701084041199198	0.08173047532015791
2017-01-01	NL	mdhfi	0.05615631291880515	0.06736150083843452
2017-01-01	NL	mdhi	0.14624813133395834	0.18060811899664259
2017-01-01	NL	mdhifi	0.1250771011844582	0.15219536415261212
2017-01-01	NL	mdhim	0.1174667790747864	0.1432189347635988
2017-01-01	NL	mdhimfi	0.092255755543053	0.11225794471637471
2017-01-01	NL	tb	0.05243809402436925	0.06402689008065401
2017-01-01	BE	md	0.0399695005746252	0.05484610124794039
2017-01-01	BE	mdhfi	0.03552493011675454	0.04771545704417906
2017-01-01	BE	mdhi	0.060517331811651955	0.09249112090267927
2017-01-01	BE	mdhifi	0.05196773065690417	0.07907852738539294
2017-01-01	BE	mdhim	0.0623017707776928	0.09059700444988089
2017-01-01	BE	mdhimfi	0.04564773911864112	0.06946148970419128
2017-01-01	BE	tb	0.03766204627181125	0.05103172167574613
2016-01-01	DE	md	0.03976947640757176	0.04930074809175896
2016-01-01	DE	mdhfi	0.03869237883785962	0.047188828213623996
2016-01-01	DE	mdhi	0.06546813955087434	0.09124540704785843
2016-01-01	DE	mdhifi	0.06378060912501143	0.08750293753913657
2016-01-01	DE	mdhim	0.0663176677266967	0.08576318380373202
2016-01-01	DE	mdhimfi	0.04751460385234557	0.06518701326510523
2016-01-01	DE	tb	0.03473622310990385	0.04289765951629877
2016-01-01	FR	md	0.03602135440843178	0.044443625553002596
2016-01-01	FR	mdhfi	0.03727997473075449	0.04378742131782735
2016-01-01	FR	mdhi	0.055512901593766054	0.08876635787487827
2016-01-01	FR	mdhifi	0.06192599819290436	0.08881299102334946
2016-01-01	FR	mdhim	0.03884077108704768	0.057428799306749226
2016-01-01	FR	mdhimfi	0.02885390730705793	0.0434817959628711
2016-01-01	FR	tb	0.032444451737422254	0.03974440629383297
2016-01-01	IT	md	0.052100679447561575	0.05910942243201093
2016-01-01	IT	mdhfi	0.047398735757003506	0.053280751610006505
2016-01-01	IT	mdhi	0.07494745321605616	0.09210296965970143
2016-01-01	IT	mdhifi	0.06405651582499676	0.07878229148537588
2016-01-01	IT	mdhim	0.07307361201220966	0.08707583886566143
2016-01-01	IT	mdhimfi	0.05191478216610333	0.06384932818050214
2016-01-01	IT	tb	0.04794734566996254	0.05402647358391186
2016-01-01	ES	md	0.057458707181363755	0.06402499991561487
2016-01-01	ES	mdhfi	0.056448697405327215	0.062003244499117975
2016-01-01	ES	mdhi	0.06234340252770639	0.07418935541444562
2016-01-01	ES	mdhifi	0.06065085984717957	0.07081365994935375
2016-01-01	ES	mdhim	0.06242967243999747	0.07248934027798393
2016-01-01	ES	mdhimfi	0.05125922694749923	0.05984834304860656
2016-01-01	ES	tb	0.04902705887261982	0.05452978800770157
2016-01-01	NL	md	0.06194665644297621	0.07663700559883203
2016-01-01	NL	mdhfi	0.04944077681748373	0.06092491370976017
2016-01-01	NL	mdhi	0.13947078414948033	0.17395952249114227
2016-01-01	NL	mdhifi	0.11401211658174062	0.14196890406586046
2016-01-01	NL	mdhim	0.11204497443908572	0.13778178305756278
2016-01-01	NL	mdhimfi	0.08371405241270932	0.10424148443401259
2016-01-01	NL	tb	0.04875802082021564	0.06032324103478231
2016-01-01	BE	md	0.042951185591337385	0.05555485349377257
2016-01-01	BE	mdhfi	0.038447660505896146	0.0486908098567585
2016-01-01	BE	mdhi	0.06581683084210677	0.09263157552587341
2016-01-01	BE	mdhifi	0.057393107478840515	0.07993744493600159
2016-01-01	BE	mdhim	0.06737972593964875	0.09123888501554278
2016-01-01	BE	mdhimfi	0.05070337434491515	0.07061994676382373
2016-01-01	BE	tb	0.04055842965666709	0.051875741742082676
2015-01-01	DE	md	0.040155898012329945	0.04855133194106556
2015-01-01	DE	mdhfi	0.0383987785234964	0.04585583332070567
2015-01-01	DE	mdhi	0.06502238293223704	0.0875472149645765
2015-01-01	DE	mdhifi	0.06144837573615107	0.08210875012200317
2015-01-01	DE	mdhim	0.06636402390933654	0.08334797559148621
2015-01-01	DE	mdhimfi	0.045746993900372	0.061128198198876035
2015-01-01	DE	tb	0.035266273525308874	0.042446414569843285
2015-01-01	FR	md	0.038411679064883145	0.047323608338493056
2015-01-01	FR	mdhfi	0.03933031677099669	0.04589719551710775
2015-01-01	FR	mdhi	0.06418224895099141	0.09930500555064642
2015-01-01	FR	mdhifi	0.06952120300577132	0.09656762345737213
2015-01-01	FR	mdhim	0.043855246328095676	0.06352701493948172
2015-01-01	FR	mdhimfi	0.03335658509975083	0.04811309473350766
2015-01-01	FR	tb	0.03429676101262404	0.042010316035194076
2015-01-01	IT	md	0.04577858245530706	0.05225317131492459
2015-01-01	IT	mdhfi	0.04089186161244509	0.04630594685235902
2015-01-01	IT	mdhi	0.06080638307874084	0.07651358439134115
2015-01-01	IT	mdhifi	0.04926184592954902	0.06269375836216516
2015-01-01	IT	mdhim	0.06108538188737921	0.07389093165600732
2015-01-01	IT	mdhimfi	0.039877672532410056	0.05075086242947361
2015-01-01	IT	tb	0.04234750941036948	0.04795256366161272
2015-01-01	ES	md	0.0550115858510094	0.06148356662150524
2015-01-01	ES	mdhfi	0.05457375471881926	0.060150562501369714
2015-01-01	ES	mdhi	0.05754434100633947	0.06921378988738641
